mem,quant,batch,prefill,Simulator,Decode_TPS,Prefill_TPS
32H+32C,fp16,1,2000,LIA,0.03915,66.124
32H+32C,fp16,1,2000,LLMFlash,0.2053,0.1
32H+32C,fp16,1,2000,SemSched,0.102293,274.72
32H+32C,fp16,1,4000,FlexGen,0.039042,133.062
32H+32C,fp16,1,4000,LIA,0.03915,132.249
32H+32C,fp16,1,4000,LLMFlash,0.2053,0.1
32H+32C,fp16,1,4000,SemSched,0.102228,547.3
32H+32C,fp16,16,50,FlexGen,0.633451,1.665
32H+32C,fp16,16,50,LIA,0.626393,1.653
32H+32C,fp16,16,50,LLMFlash,1.339,1.0
32H+32C,fp16,16,50,SemSched,1.502654,9.12
32H+32C,fp16,16,500,FlexGen,0.631869,16.651
32H+32C,fp16,16,500,LIA,0.626393,16.531
32H+32C,fp16,16,500,LLMFlash,1.3408,1.0
32H+32C,fp16,16,500,SemSched,1.499533,70.36
32H+32C,fp16,16,2000,FlexGen,0.618629,66.531
32H+32C,fp16,16,2000,LIA,0.626393,66.124
32H+32C,fp16,16,2000,LLMFlash,1.3409,1.0
32H+32C,fp16,16,2000,SemSched,1.48922,274.72
32H+32C,fp16,16,4000,FlexGen,0.611979,133.062
32H+32C,fp16,16,4000,LIA,0.626393,132.249
32H+32C,fp16,16,4000,LLMFlash,1.341,1.0
32H+32C,fp16,16,4000,SemSched,1.442697,547.3
32H+32C,fp16,128,50,FlexGen,5.051382,1.665
32H+32C,fp16,128,50,LIA,5.011142,1.653
32H+32C,fp16,128,50,LLMFlash,9.9948,8.3
32H+32C,fp16,128,50,SemSched,11.977181,9.12
32H+32C,fp16,128,500,FlexGen,4.952502,16.651
32H+32C,fp16,128,500,LIA,5.011142,16.531
32H+32C,fp16,128,500,LLMFlash,10.0957,8.3
32H+32C,fp16,128,500,SemSched,11.5188,70.36
32H+32C,fp16,128,2000,FlexGen,4.593899,66.531
32H+32C,fp16,128,2000,LIA,5.011142,66.124
32H+32C,fp16,128,2000,LLMFlash,10.1042,8.3
32H+32C,fp16,128,2000,SemSched,10.065812,274.72
32H+32C,fp16,128,4000,FlexGen,4.250857,133.062
32H+32C,fp16,128,4000,LIA,5.011142,132.249
32H+32C,fp16,128,4000,LLMFlash,10.1056,8.3
32H+32C,fp16,128,4000,SemSched,8.358744,547.3
32H+32C,int8,1,50,FlexGen,0.103695,1.792
32H+32C,int8,1,50,LIA,0.101303,1.777
32H+32C,int8,1,50,LLMFlash,0.6612,0.1
