Experiment,Model,Simulator,Quant,MemConfig,BatchSize,TPS,Prefill_TPS,Cold_Load_s,Read_Op_Pct,Write_Op_Pct,Write_Util_Pct,Write_Stall_Time_s,Write_Stall_Pct,Write_Stall_Count,Write_Stall_Freq_Pct,Per_Token_Stall_Min_Pct,Per_Token_Stall_Max_Pct,Per_Token_Stall_Mean_Pct,Token_Time_s,Stall_Pct_of_Token
Memory,72,CXLAimPod,int4,16GB_Host+32GB_CXL,128,86.56853,4.527,0.0,99.9945,0.0055,0.0,0.000429,0.029,0.0,0.0,0.0289,0.0291,0.028993750000000002,0.0,0.0
Memory,72,SemSched,int4,16GB_Host+32GB_CXL,128,86.502677,4.66,0.0,99.9998,0.0002,0.029,0.000429,0.029,1280.0,0.0,0.028916,0.029036,0.028976000000000002,0.0,0.0
Memory,72,FlexGen,int4,16GB_Host+64GB_CXL,128,25.76506,4.528,0.0,99.9998,0.0002,0.0,0.000289,0.0058,80.0,0.0,0.0058,0.0058,0.0058,0.0,0.0
Memory,72,LIA,int4,16GB_Host+64GB_CXL,128,86.862094,4.527,0.0,99.9998,0.0002,0.0,0.000289,0.0196,0.0,0.0,0.0196,0.0196,0.0196,0.0,0.0
Memory,72,LLMFlash,int4,16GB_Host+64GB_CXL,128,98.5511,0.3,0.0,99.9659,0.0341,0.0,0.000415,0.0319,0.0,0.0,0.0319,0.032,0.03195,0.0,0.0
Memory,72,CXLAimPod,int4,16GB_Host+64GB_CXL,128,86.56853,4.527,0.0,99.9945,0.0055,0.0,0.000429,0.029,0.0,0.0,0.0289,0.0291,0.028993750000000002,0.0,0.0
Memory,72,SemSched,int4,16GB_Host+64GB_CXL,128,86.502677,4.66,0.0,99.9998,0.0002,0.029,0.000429,0.029,1280.0,0.0,0.028916,0.029036,0.028976000000000002,0.0,0.0
Memory,72,FlexGen,int4,32GB_Host+32GB_CXL,128,70.240754,4.528,0.0,99.9998,0.0002,0.0,0.000289,0.0159,80.0,0.0,0.0158,0.0159,0.01588125,0.0,0.0
Memory,72,LIA,int4,32GB_Host+32GB_CXL,128,60.611176,4.523,0.0,99.9998,0.0002,0.0,0.000289,0.0137,0.0,0.0,0.0137,0.0137,0.0137,0.0,0.0
Memory,72,LLMFlash,int4,32GB_Host+32GB_CXL,128,110.6552,0.3,0.0,99.9659,0.0341,0.0,0.000366,0.0316,0.0,0.0,0.0316,0.0317,0.03163125,0.0,0.0
Memory,72,CXLAimPod,int4,32GB_Host+32GB_CXL,128,100.555987,4.527,0.0,99.9945,0.0055,0.0,0.000429,0.0337,0.0,0.0,0.0336,0.0338,0.033681249999999996,0.0,0.0
Memory,72,SemSched,int4,32GB_Host+32GB_CXL,128,100.696307,4.67,0.0,99.9998,0.0002,0.0337,0.000429,0.0337,1280.0,0.0,0.033649,0.033812,0.03373025,0.0,0.0
Memory,72,FlexGen,int4,32GB_Host+64GB_CXL,128,70.240754,4.528,0.0,99.9998,0.0002,0.0,0.000289,0.0159,80.0,0.0,0.0158,0.0159,0.01588125,0.0,0.0
Memory,72,LIA,int4,32GB_Host+64GB_CXL,128,86.862094,4.527,0.0,99.9998,0.0002,0.0,0.000289,0.0196,0.0,0.0,0.0196,0.0196,0.0196,0.0,0.0
